City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Soyo,AO,76.69,broken clouds,-6.1349,12.3689,Hotel Mpampa
7,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Sibu,MY,83.75,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
21,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Bubaque,GW,77.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
44,Rikitea,PF,79.07,clear sky,-23.1203,-134.9692,People ThankYou
45,Dingle,PH,80.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
48,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
50,Butaritari,KI,82.63,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
51,Indramayu,ID,81.37,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
55,Atuona,PF,78.51,few clouds,-9.8,-139.0333,Villa Enata
57,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Arraial Do Cabo,BR,75.81,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Kalmunai,LK,76.93,broken clouds,7.4167,81.8167,VS Villa
63,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Mount Gambier,AU,75.11,scattered clouds,-37.8333,140.7667,The Commodore
71,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Itarema,BR,79.03,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
82,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
85,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
87,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
93,Sambava,MG,75.92,overcast clouds,-14.2667,50.1667,Melrose
94,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
98,Harper,LR,78.6,broken clouds,4.375,-7.7169,Screensaver
99,Manokwari,ID,83.89,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
102,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti Beach Resort
108,Ambilobe,MG,75.42,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
114,Yulara,AU,82.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
116,Labuhan,ID,84.27,scattered clouds,-6.8844,112.2051,DoubleFAG
118,Hilo,US,75.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
119,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
125,Meulaboh,ID,81.52,moderate rain,4.1363,96.1285,Kost Pria
134,Sao Raimundo Das Mangabeiras,BR,75.13,overcast clouds,-7.0219,-45.4811,Hotel Tropical
135,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
136,Progreso,MX,76.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
156,Manaure,CO,76.41,clear sky,11.7751,-72.4445,Hotel Palaaima
161,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
173,Sao Jose Da Coroa Grande,BR,78.31,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
175,Acarau,BR,78.67,scattered clouds,-2.8856,-40.12,castelo pizzaria
178,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
179,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
180,Santa Rita,BR,79.47,scattered clouds,-7.1139,-34.9781,Infinity Motel
181,Caravelas,BR,75.56,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
196,Sabang,ID,81.9,overcast clouds,5.8933,95.3214,Hotel Citra
197,Portobelo,PA,77.41,clear sky,9.55,-79.65,Scuba Portobelo
201,Omboue,GA,76.53,overcast clouds,-1.5746,9.2618,Hotel Olako
207,Vangaindrano,MG,76.24,moderate rain,-23.35,47.6,Hotel Fanilo
218,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
221,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
224,Bontang,ID,83.08,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
239,Kavaratti,IN,77.68,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
245,Cockburn Town,TC,75.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
254,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
255,French Harbor,HN,78.8,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
258,Bendigo,AU,82.85,few clouds,-36.7667,144.2833,The Hotel Shamrock
263,Tsabong,BW,75.07,scattered clouds,-26.0217,22.401,Springbok Motel
264,Kanniyakumari,IN,78.57,few clouds,8.0833,77.5667,Sparsa
265,Tabuk,PH,75.22,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
269,Faanui,PF,80.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Savannah Bight,HN,77.0,few clouds,16.45,-85.85,Villa on Dunbar Rock
283,Lethem,GY,78.1,overcast clouds,3.3803,-59.7968,Savannah Inn
286,Vaitape,PF,80.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
291,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
293,Kavieng,PG,83.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
308,Nelson Bay,AU,77.95,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
309,Port-Gentil,GA,79.45,broken clouds,-0.7193,8.7815,Fengshui Residence
317,Sao Miguel Do Tapuio,BR,75.88,overcast clouds,-5.5036,-41.3233,Hotel Tropical
320,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
325,Tambun,ID,84.24,scattered clouds,-6.2641,107.0712,Metland Hotel Bekasi
330,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
338,Ugoofaaru,MV,81.16,scattered clouds,5.6667,73.0,Ungoofaaru Inn
344,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
345,Carutapera,BR,75.54,overcast clouds,-1.195,-46.02,Lidera
360,Ambulu,ID,82.09,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
365,Yenagoa,NG,76.64,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
384,Hervey Bay,AU,81.01,few clouds,-25.2986,152.8535,Shelly Bay Resort
391,Ciudad Bolivar,VE,80.22,broken clouds,8.1222,-63.5497,Hotel Edi
394,Kirakira,SB,84.22,overcast clouds,-10.4544,161.9205,SanBiz Lodge
400,Waiuku,NZ,80.96,broken clouds,-37.25,174.75,Waiuku Lodge Motel
406,Anyama,CI,79.61,clear sky,5.4946,-4.0518,Hotel la Residence des Hotes
409,Katherine,AU,77.32,moderate rain,-14.4667,132.2667,Pine Tree Motel
423,Pemangkat,ID,82.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
443,Fomboni,KM,82.6,moderate rain,-12.28,43.7425,Auberge les abou
446,Bahile,PH,84.96,broken clouds,9.9995,118.7878,Nitivos Beach Resort
454,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
456,Vao,NC,80.35,light rain,-22.6667,167.4833,Hotel Kou-Bugny
464,Mahanoro,MG,75.69,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
468,Auki,SB,84.67,overcast clouds,-8.7676,160.7034,Auki Motel
472,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
474,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
483,Sabya,SA,77.7,clear sky,17.1495,42.6254,Aseel Hotel Apartment
490,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
492,Aneho,TG,78.57,clear sky,6.2333,1.6,Hotel La Linette
496,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
501,Manggar,ID,82.63,moderate rain,-2.8833,108.2667,Guest Hotel
526,Areia Branca,BR,79.27,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
527,Ocos,GT,82.31,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
540,Ahuimanu,US,80.31,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
548,Nong Khai,TH,76.03,broken clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
560,Jaque,PA,77.97,few clouds,7.5175,-78.1703,Aventuras Jaque S.A
562,Careiro Da Varzea,BR,75.81,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
572,Nueva Granada,CO,78.67,scattered clouds,9.8017,-74.393,HOTEL BELLA VISTA NUEVA GRANADA
574,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
575,Isangel,VU,75.31,light rain,-19.55,169.2667,Tanna Lodge
576,Hambantota,LK,77.41,broken clouds,6.1241,81.1185,Bungalow 63
580,Mayumba,GA,75.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
583,Kui Buri,TH,80.6,light rain,12.0828,99.8543,Rista House & Resort
602,Sola,VU,82.54,overcast clouds,-13.8833,167.55,Leumerus Bungalows
609,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
610,Aloleng,PH,83.77,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
616,Dicabisagan,PH,75.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
623,Davila,PH,84.18,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
628,Pangai,TO,77.11,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
629,Iracoubo,GF,76.14,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
630,Jimani,DO,75.09,scattered clouds,18.4917,-71.8502,HOTEL LA TORRE
637,Morondava,MG,79.18,overcast clouds,-20.2833,44.2833,La Case Bambou
641,Japura,ID,82.38,moderate rain,-0.3167,102.35,Rumah mbah Jamah
647,Pijijiapan,MX,75.47,clear sky,15.7011,-93.23,Hotel Rosita
649,Cozumel,MX,75.99,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
650,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
656,Mareeba,AU,83.66,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
663,Malindi,KE,75.42,broken clouds,-3.2175,40.1191,African House Resort
664,Tagusao,PH,81.66,overcast clouds,9.1924,117.8141,Green Villa beach resort
665,Muncar,ID,83.66,overcast clouds,-8.4333,114.3333,Zaky Homestay
