City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,20.52,51,100,3.44,mist
1,Shelburne,CA,44.0787,-80.2041,5.67,88,100,7.52,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,76.21,86,100,3.76,overcast clouds
3,Saint George,US,37.1041,-113.5841,44.94,29,0,4.0,clear sky
4,Ambon,ID,-3.6954,128.1814,89.74,58,20,8.05,few clouds
5,Hermanus,ZA,-34.4187,19.2345,64.8,72,1,18.14,clear sky
6,Soyo,AO,-6.1349,12.3689,76.69,83,73,2.08,broken clouds
7,Cayenne,GF,4.9333,-52.3333,79.09,88,100,7.0,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,3.44,clear sky
9,Katsuura,JP,35.1333,140.3,47.19,41,97,11.21,overcast clouds
10,Mimongo,GA,-1.6195,11.6068,67.8,97,100,1.03,overcast clouds
11,Fortuna,US,40.5982,-124.1573,48.18,94,75,8.05,broken clouds
12,Sibu,MY,2.3,111.8167,83.75,71,100,4.0,overcast clouds
13,Aranos,NA,-24.1333,19.1167,72.97,43,34,7.38,scattered clouds
14,Lata,PT,40.1629,-8.3327,47.05,96,73,1.86,broken clouds
15,Sadon,RU,42.8518,44.0037,20.75,94,72,3.22,light snow
16,Margate,GB,51.3813,1.3862,39.96,81,1,3.0,clear sky
17,Saint-Augustin,CA,51.226,-58.6502,-10.71,86,100,9.46,overcast clouds
18,Villa Carlos Paz,AR,-31.4241,-64.4978,66.4,10,0,5.39,clear sky
19,Rocha,UY,-34.4833,-54.3333,65.8,96,47,3.04,scattered clouds
20,Busselton,AU,-33.65,115.3333,99.09,29,10,8.88,clear sky
21,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,25.17,moderate rain
22,Kodiak,US,57.79,-152.4072,38.71,87,100,0.0,overcast clouds
23,Biu,NG,10.6129,12.1946,59.65,26,3,8.66,clear sky
24,Riyadh,SA,24.6877,46.7219,62.46,33,28,20.58,scattered clouds
25,Venustiano Carranza,MX,19.43,-99.0992,64.38,40,40,17.0,scattered clouds
26,Albany,US,42.6001,-73.9662,17.91,84,100,4.59,overcast clouds
27,Sobolevo,RU,54.4299,31.8996,0.03,100,100,6.62,overcast clouds
28,Bethel,US,41.3712,-73.414,30.81,83,100,10.36,overcast clouds
29,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,20,8.05,few clouds
30,Bubaque,GW,11.2833,-15.8333,77.7,65,0,8.03,clear sky
31,Khrebtovaya,RU,56.7032,104.2494,10.69,94,100,6.91,light snow
32,Sistranda,NO,63.7256,8.834,36.9,92,100,46.19,overcast clouds
33,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,light rain
34,Hasaki,JP,35.7333,140.8333,46.29,33,7,14.43,clear sky
35,Ushuaia,AR,-54.8,-68.3,47.86,71,0,6.91,clear sky
36,Kutum,SD,14.2,24.6667,50.9,29,0,10.85,clear sky
37,Hobart,AU,-42.8794,147.3294,69.22,64,75,10.36,broken clouds
38,Port Alfred,ZA,-33.5906,26.891,69.1,82,94,9.89,light rain
39,Suntar,RU,62.1444,117.6319,-3.68,95,100,2.17,overcast clouds
40,Pacific Grove,US,36.6177,-121.9166,57.27,66,0,4.0,clear sky
41,Bardsir,IR,29.9227,56.5743,48.61,47,27,14.32,scattered clouds
42,Longyearbyen,SJ,78.2186,15.6401,13.84,57,20,26.46,few clouds
43,Beringovskiy,RU,63.05,179.3167,-8.21,87,58,12.19,broken clouds
44,Rikitea,PF,-23.1203,-134.9692,79.07,68,4,8.14,clear sky
45,Dingle,PH,10.9995,122.6711,80.78,73,89,18.68,overcast clouds
46,East London,ZA,-33.0153,27.9116,68.27,90,100,8.46,light rain
47,Tocopilla,CL,-22.092,-70.1979,70.52,67,1,7.81,clear sky
48,Belmonte,BR,-15.8631,-38.8828,79.3,88,100,8.28,overcast clouds
49,Lebu,CL,-37.6167,-73.65,57.76,85,78,17.02,broken clouds
50,Butaritari,KI,3.0707,172.7902,82.63,77,36,17.76,scattered clouds
51,Indramayu,ID,-6.3264,108.32,81.37,78,90,12.84,overcast clouds
52,Barrow,US,71.2906,-156.7887,-18.56,99,100,7.07,overcast clouds
53,Salalah,OM,17.0151,54.0924,67.55,80,0,2.48,clear sky
54,Ayr,GB,55.4627,-4.6339,41.5,87,75,20.71,broken clouds
55,Atuona,PF,-9.8,-139.0333,78.51,77,22,15.9,few clouds
56,Mataura,NZ,-46.1927,168.8643,59.49,37,7,4.9,clear sky
57,Souillac,MU,-20.5167,57.5167,80.37,89,75,17.27,light rain
58,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,87,100,22.39,overcast clouds
59,Kalmunai,LK,7.4167,81.8167,76.93,74,84,0.98,broken clouds
60,Esperance,AU,-33.8667,121.9,85.84,46,4,9.08,clear sky
61,La Ronge,CA,55.1001,-105.2842,-3.1,97,100,9.75,light snow
62,Putina,PE,-15.4667,-69.4333,44.29,86,100,3.31,overcast clouds
63,Kapaa,US,22.0752,-159.319,79.12,59,38,1.99,scattered clouds
64,Bluff,NZ,-46.6,168.3333,58.8,57,53,5.08,broken clouds
65,Mount Gambier,AU,-37.8333,140.7667,75.11,41,40,8.05,scattered clouds
66,Manjacaze,MZ,-24.7117,33.8828,73.29,79,66,6.33,broken clouds
67,Saskylakh,RU,71.9167,114.0833,-9.9,99,99,5.48,overcast clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,66.22,85,100,11.99,light rain
69,Kaitangata,NZ,-46.2817,169.8464,57.29,54,15,8.5,few clouds
70,Ribeira Grande,PT,38.5167,-28.7,58.93,82,25,12.88,scattered clouds
71,Grand Gaube,MU,-20.0064,57.6608,80.38,80,99,13.0,overcast clouds
72,Maniitsoq,GL,65.4167,-52.9,7.75,86,100,13.87,light snow
73,Nizwa,OM,22.9333,57.5333,62.01,39,5,1.54,clear sky
74,Sakaraha,MG,-22.9,44.5333,70.59,76,4,1.88,clear sky
75,Carnarvon,AU,-24.8667,113.6333,104.07,16,10,12.66,clear sky
76,Victoria,HK,22.2855,114.1577,61.25,76,90,5.01,overcast clouds
77,Trelleborg,SE,55.3751,13.1569,36.34,84,45,21.52,scattered clouds
78,Itarema,BR,-2.9248,-39.9167,79.03,80,65,10.63,broken clouds
79,Port Lincoln,AU,-34.7333,135.8667,73.13,59,6,10.67,clear sky
80,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,75,2.3,broken clouds
81,Jacksonville,US,30.3322,-81.6556,68.05,89,100,1.01,overcast clouds
82,Avarua,CK,-21.2078,-159.775,82.45,78,40,12.66,scattered clouds
83,Karla,EE,59.3723,24.9275,29.91,84,100,17.27,overcast clouds
84,Gao,ML,16.6362,1.637,57.49,15,0,11.43,clear sky
85,Padang,ID,-0.9492,100.3543,80.65,72,86,0.27,overcast clouds
86,Tiksi,RU,71.6872,128.8694,-22.23,98,69,7.36,broken clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,56,3.0,broken clouds
88,Havoysund,NO,70.9963,24.6622,20.28,79,100,21.27,overcast clouds
89,Dikson,RU,73.5069,80.5464,-1.71,92,100,4.99,overcast clouds
90,Neyshabur,IR,36.2133,58.7958,47.34,31,2,3.18,clear sky
91,Trojes,AL,41.756,19.962,28.89,68,88,3.76,overcast clouds
92,Yerbogachen,RU,61.2767,108.0108,-7.8,100,97,4.27,overcast clouds
93,Sambava,MG,-14.2667,50.1667,75.92,81,100,5.08,overcast clouds
94,Georgetown,MY,5.4112,100.3354,84.13,83,20,1.01,few clouds
95,Bredasdorp,ZA,-34.5322,20.0403,64.27,82,45,3.44,scattered clouds
96,Chapais,CA,49.7834,-74.8492,-10.08,95,100,3.36,overcast clouds
97,Jalu,LY,29.0331,21.5482,49.06,76,0,6.87,clear sky
98,Harper,LR,4.375,-7.7169,78.6,83,80,5.48,broken clouds
99,Manokwari,ID,-0.8667,134.0833,83.89,69,93,9.46,overcast clouds
100,Najran,SA,17.4924,44.1277,63.12,72,3,7.2,clear sky
101,Mangan,IN,27.5167,88.5333,49.14,94,99,1.5,overcast clouds
102,Vaini,TO,-21.2,-175.2,77.16,94,100,17.27,overcast clouds
103,Cape Town,ZA,-33.9258,18.4232,65.88,68,0,3.0,clear sky
104,Castro,BR,-24.7911,-50.0119,64.38,98,64,4.25,broken clouds
105,Nikolskoye,RU,59.7035,30.7861,18.39,88,100,12.44,overcast clouds
106,Narsaq,GL,60.9167,-46.05,-0.47,52,0,15.93,clear sky
107,Naze,JP,28.3667,129.4833,53.62,64,98,17.29,overcast clouds
108,Ambilobe,MG,-13.2,49.05,75.42,90,100,10.47,light rain
109,Krasnyy Chikoy,RU,50.3643,108.7512,10.56,87,100,4.0,overcast clouds
110,Nelipyno,UA,48.561,23.0315,33.6,90,100,3.33,overcast clouds
111,Sao Filipe,CV,14.8961,-24.4956,73.08,71,0,10.6,clear sky
112,Cahir,IE,52.3769,-7.9217,40.33,90,41,7.49,scattered clouds
113,Saldanha,ZA,-33.0117,17.9442,60.85,73,0,9.33,clear sky
114,Yulara,AU,-25.2406,130.9889,82.2,19,0,10.4,clear sky
115,Tasiilaq,GL,65.6145,-37.6368,24.96,69,100,42.46,overcast clouds
116,Labuhan,ID,-6.8844,112.2051,84.27,71,32,8.48,scattered clouds
117,Sept-Iles,CA,50.2001,-66.3821,-0.94,64,100,5.99,overcast clouds
118,Hilo,US,19.7297,-155.09,75.25,95,29,1.01,scattered clouds
119,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,17.27,light rain
120,Te Anau,NZ,-45.4167,167.7167,64.02,39,4,4.9,clear sky
121,Ubinskoye,RU,55.3068,79.6802,11.16,85,100,11.05,overcast clouds
122,Ullapool,GB,57.8987,-5.1604,39.34,88,99,18.97,light rain
123,Nanortalik,GL,60.1432,-45.2371,11.88,61,82,38.97,broken clouds
124,Pangnirtung,CA,66.1451,-65.7125,-25.64,99,100,1.92,overcast clouds
125,Meulaboh,ID,4.1363,96.1285,81.52,72,85,3.58,moderate rain
126,Diamantino,BR,-14.4086,-56.4461,72.81,91,43,2.19,scattered clouds
127,Yairipok,IN,24.6667,94.0667,56.75,82,99,0.85,overcast clouds
128,Saint Stephen,GB,50.3333,-4.9,44.87,70,20,10.36,few clouds
129,Olafsvik,IS,64.8945,-23.7142,27.23,65,100,22.55,overcast clouds
130,Betulia,CO,6.1128,-75.9838,63.0,97,99,2.73,overcast clouds
131,Norman Wells,CA,65.282,-126.8329,-12.48,90,100,7.49,overcast clouds
132,Severo-Kurilsk,RU,50.6789,156.125,31.26,85,92,9.22,light snow
133,Kristiinankaupunki,FI,62.2743,21.376,32.52,98,100,10.25,light snow
134,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,75.13,81,98,3.06,overcast clouds
135,Touros,BR,-5.1989,-35.4608,81.5,74,4,12.91,clear sky
136,Progreso,MX,21.2833,-89.6667,76.1,88,78,10.4,broken clouds
137,Tiznit,MA,29.5833,-9.5,61.39,33,100,5.39,overcast clouds
138,Mancheral,IN,18.8667,79.4333,66.15,28,97,5.39,overcast clouds
139,Balkanabat,TM,39.5108,54.3671,50.95,63,87,6.62,overcast clouds
140,Wenling,CN,28.3669,121.36,49.91,57,1,11.81,clear sky
141,Iqaluit,CA,63.7506,-68.5145,-16.87,58,75,0.0,broken clouds
142,Camana,PE,-16.6228,-72.7111,70.99,82,77,6.62,broken clouds
143,Khatanga,RU,71.9667,102.5,-35.79,100,87,2.53,overcast clouds
144,Alpena,US,45.0617,-83.4327,8.74,84,20,1.01,few clouds
145,Sorland,NO,67.667,12.6934,28.47,88,100,26.98,snow
146,Vostryakovo,RU,55.4006,37.8111,16.07,85,40,2.24,mist
147,Cabo San Lucas,MX,22.8909,-109.9124,66.51,68,0,3.44,clear sky
148,Ketchikan,US,55.3422,-131.6461,45.07,76,75,6.91,broken clouds
149,Bismarck,US,46.8083,-100.7837,13.87,68,100,16.11,overcast clouds
150,Gayny,RU,60.3071,54.3241,11.34,94,100,5.68,overcast clouds
151,Shache,CN,38.4167,77.2406,25.92,42,99,3.09,overcast clouds
152,Deputatskiy,RU,69.3,139.9,-26.36,99,75,2.77,broken clouds
153,Sayyan,YE,15.1718,44.3244,51.26,82,68,3.27,broken clouds
154,Cedar City,US,37.6775,-113.0619,29.39,50,0,0.0,clear sky
155,Turhal,TR,40.3875,36.0811,26.58,93,80,3.2,broken clouds
156,Manaure,CO,11.7751,-72.4445,76.41,80,0,12.71,clear sky
157,Tongliao,CN,43.6125,122.2653,11.62,71,2,11.81,clear sky
158,Atar,MR,20.5169,-13.0499,68.79,12,20,6.02,few clouds
159,Ekhabi,RU,53.5102,142.9671,3.11,94,100,21.54,light snow
160,Henties Bay,NA,-22.116,14.2845,66.85,84,100,4.21,overcast clouds
161,Mahebourg,MU,-20.4081,57.7,80.26,89,75,17.27,broken clouds
162,Bambamarca,PE,-6.6833,-78.5333,52.52,93,80,2.15,broken clouds
163,Yellowknife,CA,62.456,-114.3525,-26.45,80,100,5.01,overcast clouds
164,Paamiut,GL,61.994,-49.6678,5.38,92,100,7.9,light snow
165,Naica,MX,27.85,-105.4833,36.54,23,0,12.12,clear sky
166,San Ramon,US,37.7799,-121.978,55.4,65,5,2.13,clear sky
167,Mackenzie,CA,55.2999,-123.1698,36.21,95,100,7.45,overcast clouds
168,Khani,GE,41.9563,42.9566,26.17,99,99,7.65,snow
169,Namibe,AO,-15.1961,12.1522,70.48,69,17,6.29,few clouds
170,Foumban,CM,5.7291,10.9001,62.06,33,11,1.66,few clouds
171,Senneterre,CA,48.3835,-77.2328,-4.74,96,100,3.11,overcast clouds
172,Jauharabad,PK,32.2898,72.2813,48.31,67,0,2.44,clear sky
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.31,75,7,7.16,clear sky
174,Kouango,CF,4.9934,19.9619,72.37,24,100,4.61,overcast clouds
175,Acarau,BR,-2.8856,-40.12,78.67,82,41,11.16,scattered clouds
176,Skjervoy,NO,70.0311,20.9714,23.63,70,49,21.85,scattered clouds
177,Riverton,US,40.5219,-111.9391,30.36,68,0,4.0,clear sky
178,Pemba,MZ,-12.974,40.5178,77.7,94,75,8.05,broken clouds
179,Alice Springs,AU,-23.7,133.8833,78.35,31,0,8.05,clear sky
180,Santa Rita,BR,-7.1139,-34.9781,79.47,83,40,3.44,scattered clouds
181,Caravelas,BR,-17.7125,-39.2481,75.56,92,100,6.64,overcast clouds
182,Marzuq,YE,14.4,46.4667,61.41,28,0,5.17,clear sky
183,Thai Binh,VN,20.45,106.3333,59.0,66,100,5.48,overcast clouds
184,Jaisalmer,IN,26.9147,70.9181,60.78,24,0,7.76,clear sky
185,Rafaela,AR,-31.2503,-61.4867,72.05,76,11,1.01,few clouds
186,Ugento,IT,39.9263,18.1574,50.97,76,94,11.5,overcast clouds
187,New Norfolk,AU,-42.7826,147.0587,69.89,52,98,1.99,overcast clouds
188,Torbay,CA,47.6666,-52.7314,32.58,97,100,12.66,mist
189,Cherskiy,RU,68.75,161.3,-29.94,96,9,3.53,clear sky
190,Sanchursk,RU,56.9413,47.2499,20.39,94,100,12.88,snow
191,Upernavik,GL,72.7868,-56.1549,4.06,95,100,14.52,overcast clouds
192,Mukhen,RU,48.1,136.1,1.74,86,100,5.41,overcast clouds
